"x2","x3","x4","x5","x6","x7","x10","x11","x12","x13","x14","x1.1","x1.2","x1.3","x8.1","x8.2","x8.3","x8.4","x8.5","x8.6","x9.1","x9.2","x9.3","x9.4","x9.5","y"
0,1,0,0,59,1,120,47,465.9,1065,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5100
0,1,0,0,78,2,125,46,664.9,1877,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,400
0,0,1,0,73,1,130,84.9,2382,2648,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2100
1,0,0,0,25,1,130,64.8,1106,1470,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2080
1,0,0,0,207,1,120,45,539.6,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3063
0,0,0,1,132,1,130,71.1,1256,699,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4515
0,1,0,0,25,2,130,46,664.9,1877,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1000
1,0,0,0,65,1,120,54.2,1258,1470,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3091
1,0,0,0,43,1,130,67,1493,1470,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9882
0,0,0,1,144,2,120,45,742.6,1176,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,148,1,120,29,264.4,698,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8090
0,1,0,0,52,2,120,46,664.9,1877,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1260
0,0,1,0,99,1,130,43,358.1,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,15213
1,0,0,0,86,1,120,29,264.4,698,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2200
0,1,0,0,85,1,120,47.1,538.7,1300,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9210
1,0,0,0,325,1,138,38.8,310.3,882,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2025
0,1,0,0,29,1,120,45,742.6,1176,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5940
1,0,0,0,42,1,130,58.2,813.6,1043,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,12750
0,1,0,0,331,1,120,60,940.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,20450
0,0,1,0,151,1,120,43,358.1,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,7401
0,0,1,0,188,1,120,60,940.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4740
0,0,0,1,70,1,130,53.6,924.3,919,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,12100
0,0,1,0,261,1,120,38.3,360,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5474
1,0,0,0,176,1,120,47,465.9,1065,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2667
0,0,1,0,255,1,120,60,940.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,460
0,0,0,1,157,2,120,46,664.7,1877,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1000
1,0,0,0,93,1,120,39.5,372.5,735,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1736
0,1,0,0,264,1,140,61.2,916.3,478,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,440
0,1,0,0,71,1,150,29,252.3,588,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2100
1,0,0,0,130,2,120,45,742.6,1176,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4878
0,0,1,0,107,1,120,38.3,360,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3899
1,0,0,0,102,1,120,37.2,388.2,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5525
0,1,0,0,249,1,140,61.2,916.3,478,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,695
1,0,0,0,63,1,125,63.5,1075,1189,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,119,1,120,38.3,360,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4008
0,1,0,0,101,1,130,38.8,310.3,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,816
0,1,0,0,116,1,120,54.2,1258,1470,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8162
1,0,0,0,95,1,120,43,358.1,588,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,123,1,130,58.2,813.6,1043,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5645
0,0,1,0,133,1,120,38.3,360,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12282
0,1,0,0,67,1,120,29,264.4,698,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3080
1,0,0,0,62,1,130,42,376.9,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7270
0,0,1,0,173,1,120,42,376.9,588,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4568
0,1,0,0,169,2,120,46,664.9,1877,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3946
0,1,0,0,71,1,130,45,742.6,1176,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6000
1,0,0,0,120,2,150,46,664.9,1877,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4144
1,0,0,0,129,2,150,46,664.9,1877,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2598
1,0,0,0,128,1,120,50,620.1,1164,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3549
1,0,0,0,301,1,120,39.5,372.5,735,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1064
0,1,0,0,134,2,120,46,666.5,1139,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,300
1,0,0,0,232,1,120,39.5,372.5,735,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2162
1,0,0,0,33,1,120,50,620.1,1164,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5666
1,0,0,0,68,1,130,67,1493,1470,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4912
0,1,0,0,293,1,110,29,252.3,588,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1000
0,0,1,0,226,1,120,38.8,310.3,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3995
0,1,0,0,91,1,125,56.6,705.6,1300,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3060
0,0,1,0,85,1,120,45,742.6,1176,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,44600
0,0,1,0,142,1,120,38.3,360,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,11362
1,0,0,0,249,1,140,37.7,415.7,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4600
1,0,0,0,222,1,120,45,539.6,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4142
1,0,0,0,69,1,125,63.5,1075,1189,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5120
0,0,1,0,49,1,130,42,376.9,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4500
0,0,1,0,54,1,120,64.8,970.2,1341,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5025
0,0,1,0,215,1,120,42.7,338.9,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3886
1,0,0,0,12,1,130,64.8,1106,1470,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,554
0,0,1,0,252,1,120,60,940.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,880
0,0,1,0,261,1,120,42.7,338.9,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4964
0,0,1,0,325,1,134,29,264.4,698,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2560
0,0,1,0,189,1,120,64.8,996,1470,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8260
1,0,0,0,110,1,120,64.8,970.2,1341,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5430
0,1,0,0,175,2,120,46,664.9,1877,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3275
1,0,0,0,56,1,130,60,993.4,1433,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,19694
0,0,1,0,71,1,130,65,1162,1433,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4736
1,0,0,0,364,1,120,47,465.9,1065,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1700
0,1,0,0,288,1,130,80.3,1513,2207,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,35115
0,1,0,0,228,1,130,80.3,1513,2207,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,16270
0,0,1,0,271,1,120,67.2,1089,1078,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5838
1,0,0,0,90,1,130,40.5,438.6,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3412
0,0,1,0,228,1,120,39.1,320.4,771,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4644
0,1,0,0,31,1,140,40.5,438.6,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3618
0,1,0,0,134,1,140,60.3,896.7,883,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2700
0,1,0,0,165,1,140,61.2,916.3,478,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,90,1,120,43,358.1,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,8078
1,0,0,0,302,1,120,50,620.1,1164,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3481
1,0,0,0,120,1,130,40.5,438.6,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5230
0,0,1,0,41,1,130,84.9,2382,2648,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,11600
0,0,1,0,28,1,120,42.7,338.9,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3840
0,0,1,0,154,1,120,29,264.4,698,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5645
0,0,1,0,158,2,120,46,664.7,1877,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4700
1,0,0,0,120,1,120,64.8,970.2,1341,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7330
0,1,0,0,114,2,150,46,664.9,1877,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2880
0,1,0,0,163,1,120,50,620.1,1164,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2114
0,1,0,0,252,1,135,60,993.4,1433,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,69
1,0,0,0,59,1,130,67,1493,1470,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,22108
0,1,0,0,246,1,130,80.3,1598,2207,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6350
0,1,0,0,281,1,130,64.6,811.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3490
0,0,1,0,303,1,140,52.8,491.4,1212,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5219
1,0,0,0,32,1,130,29,264.4,698,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3605
0,0,1,0,85,1,120,39.5,372.5,735,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,11357
0,1,0,0,296,1,130,64.6,811.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,12660
1,0,0,0,34,1,130,64.8,996,1470,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6955
1,0,0,0,24,1,130,64.8,996,1470,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4424
0,0,1,0,182,2,120,46,614,918,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,314,1,110,29,252.3,588,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3000
1,0,0,0,124,2,120,53,929.4,1470,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3444
0,1,0,0,65,1,120,29,264.4,698,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,117,1,120,64.8,970.2,1341,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3700
0,0,0,1,77,1,130,53.6,924.3,919,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5700
0,1,0,0,97,1,130,38.8,310.3,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1887
1,0,0,0,126,2,130,53,669.3,1470,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4835
1,0,0,0,321,1,120,50,620.1,1164,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3030
1,0,0,0,60,1,120,37.2,388.2,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4935
1,0,0,0,72,1,125,63.5,1075,1189,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,6400
1,0,0,0,298,1,120,50,620.1,1164,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3743
1,0,0,0,221,1,120,45,539.6,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3122
0,0,0,1,72,1,130,53.6,924.3,919,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6800
1,0,0,0,214,1,120,45,539.6,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6249
1,0,0,0,118,1,120,47,465.9,1065,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5100
0,0,1,0,73,1,130,38.8,310.3,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,7819
1,0,0,0,87,1,140,52.8,491.4,1212,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3888
0,0,1,0,173,1,120,29,264.4,698,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3147
0,0,0,1,274,1,130,64.6,811.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,36830
0,1,0,0,143,1,135,42,471,808,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3020
0,0,1,0,250,1,130,65,1162,1433,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,7755
0,0,0,1,97,1,130,53.6,924.3,919,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,9400
0,0,1,0,180,1,120,29,264.4,698,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3800
1,0,0,0,121,2,130,53,669.3,1470,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4168
0,1,0,0,121,2,120,46,614,918,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,9000
1,0,0,0,32,1,125,63.5,1075,1189,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,8260
0,0,1,0,216,1,120,84.9,2382,2648,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,8300
0,0,1,0,137,1,120,39.1,320.4,771,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,6348
0,0,1,0,69,1,120,84.9,2382,2648,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,13800
1,0,0,0,141,2,120,46,664.7,1877,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2358
1,0,0,0,307,1,138,38.8,310.3,882,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2700
1,0,0,0,75,2,130,46,664.9,1877,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5620
0,1,0,0,63,1,120,45,742.6,1176,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,600
0,1,0,0,155,1,140,60.3,896.7,883,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2470
0,0,1,0,44,1,130,84.9,2382,2648,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,23400
1,0,0,0,38,1,130,60,993.4,1433,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,8736
1,0,0,0,54,1,125,63.5,1075,1189,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,25240
0,0,1,0,216,1,130,64.8,970.2,1341,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,7230
1,0,0,0,217,1,130,33,299.1,1037,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1281
0,0,1,0,32,1,130,84.9,2382,2648,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,16100
0,0,1,0,258,1,120,39.5,372.5,735,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3712
1,0,0,0,260,1,130,50,620.1,1164,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,86,1,130,84.9,2382,2648,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,8800
0,1,0,0,250,2,130,42,434.5,882,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5000
1,0,1,0,193,1,120,64.8,1106,1470,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1623
0,0,1,0,244,1,120,60,940.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,22450
1,0,0,0,79,1,120,29,264.4,698,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3440
1,0,0,0,142,1,120,42,376.9,588,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2270
0,0,0,1,265,1,130,53.6,924.3,919,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,13000
1,0,0,0,208,1,120,38.8,310.3,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3280
0,1,0,0,59,2,130,46,664.9,1877,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,208
1,0,0,0,101,1,120,47,465.9,1065,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,7900
0,1,0,0,253,1,130,80.3,1513,2207,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,74,2,125,46,664.9,1877,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5580
1,0,0,0,160,1,120,54.2,1258,1470,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4356
0,0,0,1,96,1,130,53.6,924.3,919,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,12970
1,0,0,0,19,1,120,47,465.9,1065,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6160
0,1,0,0,92,1,120,45,742.6,1176,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,368
0,0,1,0,50,1,120,64.8,970.2,1341,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,7445
0,0,1,0,310,1,120,39.5,372.5,735,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4004
1,0,0,0,88,1,130,65,1162,1433,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6831
1,0,0,0,338,1,120,50,620.1,1164,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4889
0,0,1,0,317,1,120,60,940.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,850
1,0,0,0,161,1,120,64.8,996,1470,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4193
1,0,0,0,151,1,120,47,465.9,1065,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4549
1,1,0,0,85,1,120,39.1,320.4,771,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3234
0,0,1,0,192,1,130,33,299.1,1037,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4265
0,1,0,0,105,1,130,53.6,924.3,919,6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,141,1,120,29,264.4,698,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8620
0,0,1,0,224,1,130,80.3,1598,2207,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2500
0,0,0,1,106,1,130,53.6,924.3,919,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,10950
0,0,1,0,283,1,120,39.5,372.5,735,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3632
0,1,0,0,172,1,140,61.2,916.3,478,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,102,1,125,63.5,1075,1189,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9980
0,1,0,0,74,2,120,46,664.9,1877,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1630
0,0,1,0,289,1,130,80.3,1598,2207,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,13000
1,0,0,0,239,1,138,38.8,310.3,882,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3375
0,0,0,1,59,1,136,39.5,372.5,735,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3667
0,1,0,0,117,1,140,61.2,916.3,478,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,160
0,0,1,0,222,1,120,42.7,338.9,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2945
1,0,0,0,318,1,140,37.7,415.7,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2606
1,0,0,0,85,1,130,64.8,970.2,1341,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4170
0,0,1,0,212,1,130,65,1162,1433,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4524
0,0,1,0,305,1,120,60,940.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,620
0,0,1,0,147,1,120,43,358.1,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,14637
